task_id,subtask_id
pwc:task/active-learning,pwc:task/active-object-detection
pwc:task/optical-character-recognition,pwc:task/active-learning
pwc:task/optical-character-recognition,pwc:task/handwriting-recognition
pwc:task/optical-character-recognition,pwc:task/handwritten-digit-recognition
pwc:task/optical-character-recognition,pwc:task/irregular-text-recognition
pwc:task/optical-character-recognition,pwc:task/handwritten-chinese-text-recognition
pwc:task/optical-character-recognition,pwc:task/offline-handwritten-chinese-character
pwc:task/optical-character-recognition,pwc:task/word-spotting-in-handwritten-documents
pwc:task/optical-character-recognition,pwc:task/handwritten-digit-image-synthesis
pwc:task/deblurring,pwc:task/blind-image-deblurring
pwc:task/deblurring,pwc:task/single-image-blind-deblurring
pwc:task/trajectory-prediction,pwc:task/trajectory-forecasting
pwc:task/trajectory-prediction,pwc:task/human-motion-prediction
pwc:task/depth-and-camera-motion,pwc:task/face-anti-spoofing
pwc:task/3d-depth-estimation,pwc:task/transparent-object-depth-estimation
pwc:task/depth-estimation,pwc:task/monocular-depth-estimation
pwc:task/depth-estimation,pwc:task/stereo-depth-estimation
pwc:task/depth-estimation,pwc:task/depth-and-camera-motion
pwc:task/depth-estimation,pwc:task/3d-depth-estimation
pwc:task/depth-estimation,pwc:task/stereo-lidar-fusion
pwc:task/depth-estimation,pwc:task/depth-map-super-resolution
pwc:task/depth-estimation,pwc:task/indoor-monocular-depth-estimation
pwc:task/depth-estimation,pwc:task/depth-image-upsampling
pwc:task/stock-prediction,pwc:task/text-based-stock-prediction
pwc:task/stock-prediction,pwc:task/event-driven-trading
pwc:task/stock-market-prediction,pwc:task/stock-prediction
pwc:task/stock-market-prediction,pwc:task/stock-price-prediction
pwc:task/stock-market-prediction,pwc:task/stock-trend-prediction
pwc:task/link-prediction,pwc:task/inductive-link-prediction
pwc:task/link-prediction,pwc:task/dynamic-link-prediction
pwc:task/link-prediction,pwc:task/calibration-for-link-prediction
pwc:task/link-prediction,pwc:task/link-prediction-on-dh-kgs
pwc:task/link-prediction,pwc:task/anchor-link-prediction
pwc:task/image-super-resolution,pwc:task/multi-frame-super-resolution
pwc:task/image-super-resolution,pwc:task/burst-image-super-resolution
pwc:task/image-super-resolution,pwc:task/stereo-image-super-resolution
pwc:task/image-super-resolution,pwc:task/satellite-image-super-resolution
pwc:task/video-super-resolution,pwc:task/key-frame-based-video-super-resolution--k---15-
pwc:task/super-resolution,pwc:task/image-super-resolution
pwc:task/super-resolution,pwc:task/single-image-super-resolution
pwc:task/super-resolution,pwc:task/video-super-resolution
pwc:task/super-resolution,pwc:task/reference-based-super-resolution
pwc:task/super-resolution,pwc:task/depth-map-super-resolution
pwc:task/super-resolution,pwc:task/reference-based-video-super-resolution
pwc:task/super-resolution,pwc:task/3d-object-super-resolution
pwc:task/eeg,pwc:task/eeg-decoding
pwc:task/eeg,pwc:task/eeg-denoising
pwc:task/eeg,pwc:task/attention-score-prediction
pwc:task/eeg,pwc:task/semanticity-prediction
pwc:task/eeg,pwc:task/noise-level-prediction
pwc:task/eeg,pwc:task/lwr-classification
pwc:task/x-ray,pwc:task/medical-x-ray-image-segmentation
pwc:task/x-ray,pwc:task/low-dose-x-ray-ct-reconstruction
pwc:task/x-ray,pwc:task/bone-suppression-from-dual-energy-chest-x-rays
pwc:task/x-ray,pwc:task/joint-vertebrae-identification-and
pwc:task/x-ray,pwc:task/finding-pulmonary-nodules-in-large-scale-ct-images
pwc:task/x-ray,pwc:task/mapping-of-lung-nodules-in-low-dose-ct-images
pwc:task/x-ray,pwc:task/cbct-artifact-reduction
pwc:task/breast-cancer-histology-image-classification,pwc:task/breast-cancer-histology-image-classification-1
pwc:task/cancer,pwc:task/breast-cancer-detection
pwc:task/cancer,pwc:task/skin-cancer-classification
pwc:task/cancer,pwc:task/breast-cancer-histology-image-classification
pwc:task/cancer,pwc:task/lung-cancer-diagnosis
pwc:task/cancer,pwc:task/classification-of-breast-cancer-histology
pwc:task/cancer,pwc:task/respiratory-motion-forecasting
pwc:task/cancer,pwc:task/prediction-of-cancer-cell-line-sensitivity
pwc:task/cancer,pwc:task/oral-cancer-classification
pwc:task/cancer,pwc:task/discovery-of-integrative-cancer-subtypes
pwc:task/cancer,pwc:task/colon-cancer-detection-in-confocal-laser
pwc:task/single-view-3d-reconstruction,pwc:task/3d-semantic-scene-completion-from-a-single
pwc:task/single-image-based-hdr-reconstruction,pwc:task/tone-mapping
pwc:task/reconstruction,pwc:task/3d-human-reconstruction
pwc:task/reconstruction,pwc:task/single-view-3d-reconstruction
pwc:task/reconstruction,pwc:task/single-image-based-hdr-reconstruction
pwc:task/face-recognition,pwc:task/age-invariant-face-recognition
pwc:task/face-recognition,pwc:task/face-quality-assessement
pwc:task/face-recognition,pwc:task/unsupervised-face-recognition
pwc:task/face-detection,pwc:task/occluded-face-detection
pwc:task/face-verification,pwc:task/disguised-face-verification
pwc:task/facial-expression-recognition,pwc:task/cross-corpus
pwc:task/facial-expression-recognition,pwc:task/micro-expression-recognition
pwc:task/facial-expression-recognition,pwc:task/micro-expression-spotting
pwc:task/facial-expression-recognition,pwc:task/3d-facial-expression-recognition
pwc:task/facial-expression-recognition,pwc:task/smile-recognition
pwc:task/talking-face-generation,pwc:task/constrained-lip-synchronization
pwc:task/talking-head-generation,pwc:task/lip-sync
pwc:task/face-generation,pwc:task/talking-face-generation
pwc:task/face-generation,pwc:task/talking-head-generation
pwc:task/face-generation,pwc:task/face-age-editing
pwc:task/face-generation,pwc:task/facial-expression-generation
pwc:task/deblurring,pwc:task/blind-image-deblurring
pwc:task/deblurring,pwc:task/single-image-blind-deblurring
pwc:task/3d-face-reconstruction,pwc:task/deblurring
pwc:task/facial-landmark-detection,pwc:task/unsupervised-facial-landmark-detection
pwc:task/facial-landmark-detection,pwc:task/3d-facial-landmark-localization
pwc:task/facial-recognition-and-modelling,pwc:task/face-recognition
pwc:task/facial-recognition-and-modelling,pwc:task/face-detection
pwc:task/facial-recognition-and-modelling,pwc:task/face-verification
pwc:task/facial-recognition-and-modelling,pwc:task/face-swapping
