method_id,collection_id
pwc:method/stochastic-depth,pwc:collection/regularization
pwc:method/polyconv,pwc:collection/convolutional-neural-networks
pwc:method/base,pwc:collection/active-learning
pwc:method/genet,pwc:collection/convolutional-neural-networks
pwc:method/eligibility-trace,pwc:collection/eligibility-traces
pwc:method/soho,pwc:collection/vision-and-language-pre-trained-models
pwc:method/octave-convolution,pwc:collection/convolutions
pwc:method/invertible-nxn-convolution,pwc:collection/convolutions
pwc:method/cp-n3-rp,pwc:collection/graph-embeddings
pwc:method/scaled,pwc:collection/attention-mechanisms
pwc:method/dynamic-smoothl1-loss,pwc:collection/loss-functions
pwc:method/leaky-relu,pwc:collection/activation-functions
pwc:method/delight-block,pwc:collection/attention-modules
pwc:method/alis,pwc:collection/generative-adversarial-networks
pwc:method/spatial-reduction-attention,pwc:collection/attention-modules
pwc:method/low-rank-tensor-learning-paradigms,pwc:collection/time-series-analysis
pwc:method/visual-parsing,pwc:collection/vision-and-language-pre-trained-models
pwc:method/rendezvous,pwc:collection/attention-mechanisms
pwc:method/hierarchical-dnn-interpretations,pwc:collection/interpretability
pwc:method/pgnet,pwc:collection/scene-text-models
pwc:method/gps,pwc:collection/image-data-augmentation
pwc:method/dblock,pwc:collection/skip-connection-blocks
pwc:method/dblock,pwc:collection/audio-model-blocks
pwc:method/pixelcnn,pwc:collection/likelihood-based-generative-models
pwc:method/pixelcnn,pwc:collection/generative-models
pwc:method/inception-a,pwc:collection/image-model-blocks
pwc:method/scale-aggregation-block,pwc:collection/image-model-blocks
pwc:method/4d-a,pwc:collection/heuristic-search-algorithms
pwc:method/adadelta,pwc:collection/stochastic-optimization
pwc:method/gaussian-process,pwc:collection/non-parametric-regression
pwc:method/gaussian-process,pwc:collection/non-parametric-classification
pwc:method/dall-e-2,pwc:collection/image-generation-models
pwc:method/advprop,pwc:collection/adversarial-training
pwc:method/zca-whitening,pwc:collection/whitening
pwc:method/ga,pwc:collection/heuristic-search-algorithms
pwc:method/a2c,pwc:collection/policy-gradient-methods
pwc:method/condconv,pwc:collection/convolutions
pwc:method/xlnet,pwc:collection/autoregressive-transformers
pwc:method/xlnet,pwc:collection/transformers
pwc:method/gcnet,pwc:collection/instance-segmentation-models
pwc:method/gcnet,pwc:collection/object-detection-models
pwc:method/dilated-sliding-window-attention,pwc:collection/attention-patterns
pwc:method/masked-convolution,pwc:collection/convolutions
pwc:method/channel-attention,pwc:collection/attention-mechanisms
pwc:method/centermask,pwc:collection/instance-segmentation-models
pwc:method/cida,pwc:collection/adversarial-training
pwc:method/spectral-dropout,pwc:collection/regularization
pwc:method/ebm,pwc:collection/generative-models
pwc:method/rescal-rp,pwc:collection/graph-embeddings
pwc:method/tridentnet-block,pwc:collection/feature-extractors
pwc:method/cascade-corner-pooling,pwc:collection/pooling-operations
pwc:method/dtw,pwc:collection/time-series-analysis
pwc:method/pp-ocr,pwc:collection/ocr-models
pwc:method/pp-ocr,pwc:collection/convolutions
pwc:method/gated-convolution,pwc:collection/temporal-convolutions
pwc:method/vip-deeplab,pwc:collection/monocular-depth-estimation-models
pwc:method/vip-deeplab,pwc:collection/video-panoptic-segmentation-models
pwc:method/shufflenet,pwc:collection/convolutional-neural-networks
pwc:method/featurenms,pwc:collection/proposal-filtering
pwc:method/cv-mim,pwc:collection/representation-learning
pwc:method/ssds,pwc:collection/self-supervised-learning
pwc:method/dgi,pwc:collection/graph-models
pwc:method/waveglow,pwc:collection/generative-audio-models
pwc:method/wegl,pwc:collection/graph-embeddings
pwc:method/nuqsgd,pwc:collection/data-parallel-methods
pwc:method/routing-transformer,pwc:collection/autoregressive-transformers
pwc:method/routing-transformer,pwc:collection/transformers
pwc:method/child-tuning,pwc:collection/fine-tuning
pwc:method/mlfpn,pwc:collection/feature-pyramid-blocks
pwc:method/mlfpn,pwc:collection/feature-extractors
pwc:method/1cycle,pwc:collection/learning-rate-schedules
pwc:method/deepdrug,pwc:collection/graph-representation-learning
pwc:method/h-bemd,pwc:collection/image-segmentation-models
pwc:method/fractal-block,pwc:collection/image-model-blocks
pwc:method/gan,pwc:collection/generative-adversarial-networks
pwc:method/gan,pwc:collection/generative-models
pwc:method/alphazero,pwc:collection/board-game-models
pwc:method/single-headed-attention,pwc:collection/attention-modules
pwc:method/good-feature-matching,pwc:collection/feature-matching
pwc:method/gpt-2,pwc:collection/autoregressive-transformers
pwc:method/gpt-2,pwc:collection/transformers
pwc:method/xlm,pwc:collection/autoencoding-transformers
pwc:method/xlm,pwc:collection/transformers
pwc:method/lda2vec,pwc:collection/topic-embeddings
pwc:method/lda2vec,pwc:collection/document-embeddings
pwc:method/lda2vec,pwc:collection/static-word-embeddings
pwc:method/lda2vec,pwc:collection/word-embeddings
pwc:method/modern,pwc:collection/vqa-models
pwc:method/center-pooling,pwc:collection/pooling-operations
pwc:method/cs-gan,pwc:collection/generative-adversarial-networks
pwc:method/cs-gan,pwc:collection/generative-models
pwc:method/piou-loss,pwc:collection/loss-functions
pwc:method/cam,pwc:collection/language-models
pwc:method/cam,pwc:collection/interpretability
pwc:method/proxylessnet-cpu,pwc:collection/convolutional-neural-networks
pwc:method/proxylessnet-cpu,pwc:collection/image-models
pwc:method/pisa,pwc:collection/prioritized-sampling
pwc:method/spreadsheetcoder,pwc:collection/spreadsheet-formula-prediction-models
pwc:method/fast-autoaugment,pwc:collection/image-data-augmentation
